Player_ID,Player,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
37,Jason Kidd,1995,2013,1391,36,12.6,6.3,8.7,1.9,0.3,0.4,0.349,0.785,138.6,0.133
38,Kawhi Leonard,2012,2024,696,31.8,20,6.4,3,1.7,0.7,0.499,0.391,0.862,99.3,0.216
39,Damian Lillard,2013,2024,842,36.2,25.1,4.2,6.7,1,0.3,0.438,0.371,0.897,110.8,0.174
40,Jerry Lucas,1964,1974,829,38.8,17,15.6,3.3,0.4,0.3,0.499,,0.783,98.4,0.147
41,Karl Malone,1986,2004,1476,37.2,25,10.1,3.6,1.4,0.8,0.516,0.274,0.742,234.6,0.205
42,Moses Malone,1977,1995,1329,33.9,20.6,12.2,1.4,0.8,1.3,0.491,,0.769,167.1,0.178
43,Pete Maravich,1971,1980,658,37,24.2,4.2,5.4,1.4,0.3,0.441,,0.82,46.7,0.092
44,Bob McAdoo,1973,1986,852,33.2,22.1,9.4,2.3,1,1.5,0.503,,0.754,89.1,0.151
45,Kevin McHale,1981,1993,971,31,17.9,7.3,1.7,0.4,1.7,0.554,0.261,0.798,113,0.18
46,George Mikan,1949,1956,439,34.4,23.1,13.4,2.8,,,0.404,,0.782,108.7,0.249
47,Reggie Miller,1988,2005,1389,34.3,18.2,3,3,1.1,0.2,0.471,0.395,0.888,174.4,0.176
48,Earl Monroe,1968,1980,926,32,18.8,3,3.9,1,0.3,0.464,,0.807,77.4,0.125
49,Steve Nash,1997,2014,1217,31.3,14.3,3,8.5,0.7,0.1,0.49,0.428,0.904,129.7,0.164
50,Dirk Nowitzki,1999,2019,1522,33.8,20.7,7.5,2.4,0.8,0.8,0.471,0.38,0.879,206.3,0.193
51,Shaquille O'Neal,1993,2011,1207,34.7,23.7,10.9,2.5,0.6,2.3,0.582,0.045,0.527,181.7,0.208
52,Hakeem Olajuwon,1985,2002,1238,35.7,21.8,11.1,2.5,1.7,3.1,0.512,0.202,0.712,162.8,0.177
53,Robert Parish,1977,1997,1611,28.4,14.5,9.1,1.4,0.8,1.5,0.537,,0.721,147,0.154
54,Chris Paul,2006,2024,1272,34.1,17.5,4.5,9.4,2.1,0.2,0.471,0.369,0.87,209.4,0.232
55,Gary Payton,1991,2007,1335,35.3,16.3,3.9,6.7,1.8,0.2,0.466,0.317,0.729,145.5,0.148
56,Bob Pettit,1955,1965,792,38.8,26.4,16.2,3,,,0.436,,0.761,136,0.213
57,Paul Pierce,1999,2017,1343,34.2,19.7,5.6,3.5,1.3,0.6,0.445,0.368,0.806,150,0.157
58,Scottie Pippen,1988,2004,1178,34.9,16.1,6.4,5.2,2,0.8,0.473,0.326,0.704,125.1,0.146
59,Willis Reed,1965,1974,650,35.5,18.7,12.9,1.8,0.6,1.1,0.476,,0.747,74.9,0.156
60,Oscar Robertson,1961,1974,1040,42.2,25.7,7.5,9.5,1.1,0.1,0.485,,0.838,189.2,0.207
61,David Robinson,1990,2003,987,34.7,21.1,10.6,2.5,1.4,3,0.518,0.25,0.736,178.7,0.25
62,Dennis Rodman,1987,2000,911,31.7,7.3,13.1,1.8,0.7,0.6,0.521,0.231,0.584,89.8,0.15
63,Bill Russell,1957,1969,963,42.3,15.1,22.5,4.3,,,0.44,,0.561,163.5,0.193
64,Dolph Schayes,1950,1964,996,34.4,18.5,12.1,3.1,,,0.38,,0.849,142.4,0.192
65,Bill Sharman,1951,1961,711,32,17.8,3.9,3,,,0.426,,0.883,82.8,0.178
66,John Stockton,1985,2003,1504,31.8,13.1,2.7,10.5,2.2,0.2,0.515,0.384,0.826,207.7,0.209
67,Isiah Thomas,1982,1994,979,36.3,19.2,3.6,9.3,1.9,0.3,0.452,0.29,0.759,80.7,0.109
68,Nate Thurmond,1964,1977,964,37.2,15,15,2.7,0.5,2.1,0.421,,0.667,78,0.104
69,Wes Unseld,1969,1981,984,36.4,10.8,14,3.9,1.1,0.6,0.509,,0.633,110.1,0.147
70,Dwyane Wade,2004,2019,1054,33.9,22,4.7,5.4,1.5,0.8,0.48,0.293,0.765,120.7,0.162
71,Bill Walton,1975,1987,468,28.3,13.3,10.5,3.4,0.8,2.2,0.521,,0.66,39.3,0.142
72,Jerry West,1961,1974,932,39.2,27,5.8,6.7,2.6,0.7,0.474,,0.814,162.6,0.213
73,Russell Westbrook,2009,2024,1162,33.6,21.7,7.1,8.1,1.6,0.3,0.438,0.304,0.776,110.6,0.136
74,Lenny Wilkens,1961,1975,1077,35.3,16.5,4.7,6.7,1.3,0.2,0.432,,0.774,95.5,0.12
75,Dominique Wilkins,1983,1999,1074,35.5,24.8,6.7,2.5,1.3,0.6,0.461,0.319,0.811,117.5,0.148
76,James Worthy,1983,1994,926,32.4,17.6,5.1,3,1.1,0.7,0.521,0.241,0.769,81.2,0.13
